Membership No  Date Joined  Active  
    78036      2017-4-16    no    
    28747      2017-10-4    no    
    49805      2016-12-19   no    
    74560      2015-7-4     no    
    65931      2019-5-2     no    
    99307      2020-7-10    no    
    67390      2016-1-22    no    
    14989      2018-5-10    no    
    91876      2015-10-25   no    
    83242      2018-12-12   no    
    72200      2016-4-7     no    
    69811      2020-6-9     no    
    98049      2020-9-24    no    
    83686      2020-5-24    no    
